-1.007217+0.016282j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007213+0.016321j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007210+0.016361j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007207+0.016400j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007204+0.016439j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007201+0.016478j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007199+0.016517j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007196+0.016556j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007195+0.016594j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007193+0.016633j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007191+0.016671j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007190+0.016709j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007189+0.016748j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007188+0.016785j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007187+0.016823j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007187+0.016861j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007187+0.016898j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007187+0.016936j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007187+0.016973j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007187+0.017010j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007188+0.017047j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007188+0.017083j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007189+0.017120j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007190+0.017156j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007191+0.017192j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007193+0.017228j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007194+0.017264j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007196+0.017300j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007198+0.017335j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007200+0.017370j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007202+0.017405j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007204+0.017440j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007206+0.017475j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007209+0.017510j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007211+0.017544j,1.386294-0.000001j,1.386295+0.000001j,0.000000
-1.007214+0.017578j,1.386294-0.000001j,1.386295+0.000001j,0.000000
-1.007217+0.017612j,1.386294-0.000001j,1.386295+0.000001j,0.000000
-1.007220+0.017646j,1.386294-0.000001j,1.386295+0.000001j,0.000000
-1.007223+0.017680j,1.386294-0.000001j,1.386295+0.000001j,0.000000
-1.007226+0.017714j,1.386294-0.000001j,1.386295+0.000001j,0.000000
-1.007230+0.017747j,1.386294-0.000001j,1.386295+0.000001j,0.000000
-1.007233+0.017780j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007236+0.017813j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007240+0.017846j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007244+0.017879j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007248+0.017911j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007251+0.017944j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007255+0.017976j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007259+0.018008j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007263+0.018040j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007268+0.018071j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007272+0.018103j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007276+0.018134j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007281+0.018165j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007285+0.018196j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007290+0.018227j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007294+0.018258j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007299+0.018288j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007303+0.018319j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007308+0.018349j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007313+0.018379j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007318+0.018409j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007323+0.018439j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007328+0.018469j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007333+0.018498j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007338+0.018527j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007343+0.018557j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007348+0.018586j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007353+0.018615j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007358+0.018643j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007364+0.018672j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007369+0.018701j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007374+0.018729j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007380+0.018757j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007385+0.018785j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007390+0.018813j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007396+0.018841j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007401+0.018869j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007407+0.018896j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007412+0.018924j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007418+0.018951j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007423+0.018978j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007429+0.019005j,1.386294-0.000002j,1.386295+0.000002j,0.000000
