1.019887+0.000000j,-0.029967+3.147008j,-0.029967+3.136177j,0.001906
1.021510+0.000000j,-0.030207+3.146913j,-0.030207+3.136273j,0.001923
1.023242+0.000000j,-0.030461+3.146800j,-0.030461+3.136385j,0.001940
1.024699+0.000000j,-0.030673+3.146697j,-0.030673+3.136489j,0.001955
1.026258+0.000000j,-0.030898+3.146575j,-0.030898+3.136610j,0.001970
1.027562+0.000000j,-0.031085+3.146465j,-0.031085+3.136720j,0.001982
1.028967+0.000000j,-0.031285+3.146338j,-0.031285+3.136848j,0.001995
1.030132+0.000000j,-0.031450+3.146224j,-0.031450+3.136962j,0.002006
1.031396+0.000000j,-0.031628+3.146091j,-0.031628+3.137094j,0.002017
1.032434+0.000000j,-0.031774+3.145975j,-0.031774+3.137210j,0.002026
1.033569+0.000000j,-0.031932+3.145839j,-0.031932+3.137346j,0.002035
1.034491+0.000000j,-0.032060+3.145722j,-0.032060+3.137463j,0.002042
1.035507+0.000000j,-0.032201+3.145585j,-0.032201+3.137600j,0.002050
1.036321+0.000000j,-0.032313+3.145469j,-0.032313+3.137717j,0.002056
1.037228+0.000000j,-0.032438+3.145331j,-0.032438+3.137854j,0.002063
1.037945+0.000000j,-0.032536+3.145216j,-0.032536+3.137969j,0.002068
1.038750+0.000000j,-0.032646+3.145079j,-0.032647+3.138106j,0.002073
1.039379+0.000000j,-0.032732+3.144967j,-0.032732+3.138219j,0.002077
1.040091+0.000000j,-0.032829+3.144832j,-0.032829+3.138353j,0.002082
1.040639+0.000000j,-0.032904+3.144722j,-0.032904+3.138463j,0.002085
1.041202+0.000000j,-0.032980+3.144604j,-0.032980+3.138581j,0.002088
1.041730+0.000000j,-0.033051+3.144487j,-0.033051+3.138698j,0.002091
1.042221+0.000000j,-0.033117+3.144372j,-0.033117+3.138813j,0.002094
1.042680+0.000000j,-0.033179+3.144259j,-0.033179+3.138926j,0.002096
1.043107+0.000000j,-0.033237+3.144149j,-0.033237+3.139037j,0.002098
1.043504+0.000000j,-0.033290+3.144040j,-0.033290+3.139145j,0.002100
1.043872+0.000000j,-0.033339+3.143934j,-0.033340+3.139252j,0.002102
1.044214+0.000000j,-0.033385+3.143830j,-0.033385+3.139356j,0.002103
1.044531+0.000000j,-0.033428+3.143728j,-0.033428+3.139457j,0.002104
1.044823+0.000000j,-0.033467+3.143629j,-0.033467+3.139556j,0.002106
1.045093+0.000000j,-0.033503+3.143532j,-0.033503+3.139653j,0.002107
1.045342+0.000000j,-0.033536+3.143438j,-0.033536+3.139747j,0.002107
1.045571+0.000000j,-0.033567+3.143347j,-0.033567+3.139839j,0.002108
1.045781+0.000000j,-0.033595+3.143258j,-0.033595+3.139928j,0.002109
1.045974+0.000000j,-0.033620+3.143171j,-0.033620+3.140014j,0.002109
1.046150+0.000000j,-0.033644+3.143088j,-0.033644+3.140097j,0.002110
1.046311+0.000000j,-0.033665+3.143007j,-0.033665+3.140178j,0.002110
1.046457+0.000000j,-0.033684+3.142929j,-0.033685+3.140257j,0.002111
1.046590+0.000000j,-0.033702+3.142853j,-0.033702+3.140332j,0.002111
1.046708+0.000000j,-0.033718+3.142782j,-0.033718+3.140403j,0.002111
1.046814+0.000000j,-0.033732+3.142714j,-0.033732+3.140471j,0.002112
1.046911+0.000000j,-0.033745+3.142648j,-0.033745+3.140537j,0.002112
1.046998+0.000000j,-0.033756+3.142585j,-0.033757+3.140600j,0.002112
1.047076+0.000000j,-0.033766+3.142524j,-0.033767+3.140661j,0.002112
1.047146+0.000000j,-0.033776+3.142466j,-0.033776+3.140719j,0.002112
1.047209+0.000000j,-0.033784+3.142411j,-0.033785+3.140775j,0.002112
1.047265+0.000000j,-0.033791+3.142357j,-0.033792+3.140828j,0.002112
1.047315+0.000001j,-0.033798+3.142307j,-0.033799+3.140879j,0.002112
1.047360+0.000001j,-0.033804+3.142258j,-0.033805+3.140927j,0.002113
1.047399+0.000001j,-0.033809+3.142212j,-0.033810+3.140973j,0.002113
1.047434+0.000001j,-0.033814+3.142168j,-0.033815+3.141017j,0.002113
1.047465+0.000001j,-0.033817+3.142127j,-0.033819+3.141059j,0.002113
1.047492+0.000001j,-0.033821+3.142087j,-0.033823+3.141098j,0.002113
1.047515+0.000001j,-0.033824+3.142050j,-0.033826+3.141135j,0.002113
1.047536+0.000001j,-0.033826+3.142014j,-0.033829+3.141171j,0.002113
1.047554+0.000001j,-0.033828+3.141981j,-0.033832+3.141204j,0.002113
