-1.155033+0.196560j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155043+0.196554j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155054+0.196547j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155065+0.196540j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155076+0.196533j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155087+0.196526j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155097+0.196520j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155108+0.196513j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155119+0.196506j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155130+0.196500j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155140+0.196493j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155151+0.196486j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155162+0.196480j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155172+0.196473j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155183+0.196466j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155194+0.196460j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155204+0.196453j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155215+0.196446j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155226+0.196440j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155236+0.196433j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155247+0.196426j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155258+0.196420j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155268+0.196413j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155279+0.196407j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155289+0.196400j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155300+0.196394j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155310+0.196387j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155321+0.196381j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155331+0.196374j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155342+0.196367j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155352+0.196361j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155363+0.196354j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155373+0.196348j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155384+0.196341j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155394+0.196335j,-0.000004-3.141590j,0.000004-3.141596j,0.000000
-1.155405+0.196328j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155415+0.196322j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155426+0.196316j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155436+0.196309j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155447+0.196303j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155457+0.196296j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155467+0.196290j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155478+0.196283j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155488+0.196277j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155498+0.196271j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155509+0.196264j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155519+0.196258j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155529+0.196252j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155540+0.196245j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155550+0.196239j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155560+0.196232j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155571+0.196226j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155581+0.196220j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155591+0.196213j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155601+0.196207j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155612+0.196201j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155622+0.196195j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155632+0.196188j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155642+0.196182j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155653+0.196176j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
