-0.981969-0.247393j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.981980-0.247390j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.981991-0.247387j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982002-0.247384j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982013-0.247381j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982024-0.247378j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982035-0.247375j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982046-0.247372j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982057-0.247369j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982068-0.247366j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982079-0.247363j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982090-0.247360j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982101-0.247357j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982112-0.247354j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982123-0.247351j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982134-0.247348j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982145-0.247345j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982156-0.247342j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982167-0.247339j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982177-0.247336j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982188-0.247333j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982199-0.247330j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982210-0.247327j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982221-0.247325j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982232-0.247322j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982242-0.247319j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982253-0.247316j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982264-0.247313j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982275-0.247310j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982286-0.247307j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982296-0.247304j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982307-0.247301j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.982318-0.247298j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
