-0.770917-0.090160j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770927-0.090160j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770937-0.090159j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770947-0.090159j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770958-0.090159j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770968-0.090159j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770978-0.090158j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770988-0.090158j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770999-0.090158j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771009-0.090157j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771019-0.090157j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771029-0.090157j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771039-0.090157j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771050-0.090156j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771060-0.090156j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771070-0.090156j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771080-0.090155j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771090-0.090155j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771100-0.090155j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771110-0.090154j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771121-0.090154j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771131-0.090154j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771141-0.090154j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771151-0.090153j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771161-0.090153j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
