-1.207269+0.130284j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207255+0.130281j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207242+0.130277j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207228+0.130274j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207214+0.130271j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207200+0.130267j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207187+0.130264j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207173+0.130261j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207159+0.130258j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207146+0.130254j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207132+0.130251j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207118+0.130248j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207105+0.130244j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207091+0.130241j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207078+0.130238j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207064+0.130235j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207050+0.130231j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207037+0.130228j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207023+0.130225j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207010+0.130222j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206996+0.130218j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206983+0.130215j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206969+0.130212j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206956+0.130209j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206942+0.130206j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206929+0.130202j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206916+0.130199j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206902+0.130196j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206889+0.130193j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206875+0.130190j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206862+0.130186j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206849+0.130183j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206835+0.130180j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206822+0.130177j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206809+0.130174j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206795+0.130170j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206782+0.130167j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206769+0.130164j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
